timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent
0.020,20.000,0,0.00,0.00,0.0000,0.00,39
0.111,90.944,0,0.00,0.00,0.0000,0.00,130
0.139,28.478,0,0.00,0.00,0.0000,0.00,159
0.155,15.720,0,0.00,0.00,0.0000,0.00,175
0.171,15.773,0,0.00,0.00,0.0000,0.00,190
0.186,15.100,0,0.00,0.00,0.0000,0.00,206
0.200,14.209,0,0.00,0.00,0.0000,0.00,220
0.215,15.151,0,0.00,0.00,0.0000,0.00,235
0.229,13.650,0,0.00,0.00,0.0000,0.00,249
0.243,14.193,0,0.00,0.00,0.0000,0.00,263
0.259,15.671,0,0.00,0.00,0.0000,0.00,278
0.275,16.383,0,0.00,0.00,0.0000,0.00,295
0.290,14.445,0,0.00,0.00,0.0000,0.00,309
0.305,15.223,0,0.00,0.00,0.0000,0.00,324
0.320,15.414,0,0.00,0.00,0.0000,0.00,340
0.336,15.535,0,0.00,0.00,0.0000,0.00,355
0.350,14.326,0,0.00,0.00,0.0000,0.00,370
0.364,13.805,0,0.00,0.00,0.0000,0.00,384
0.378,13.489,0,0.00,0.00,0.0000,0.00,397
0.392,14.871,0,0.00,0.00,0.0000,0.00,412
0.405,12.574,0,0.00,0.00,0.0000,0.00,424
0.418,13.298,0,0.00,0.00,0.0000,0.00,438
0.433,14.608,0,0.00,0.00,0.0000,0.00,452
0.447,13.942,0,0.00,0.00,0.0000,0.00,466
0.461,13.949,0,0.00,0.00,0.0000,0.00,480
0.475,14.304,0,0.00,0.00,0.0000,0.00,495
0.489,13.944,0,0.00,0.00,0.0000,0.00,508
0.502,13.489,0,0.00,0.00,0.0000,0.00,522
0.516,13.478,0,0.00,0.00,0.0000,0.00,535
0.529,12.971,0,0.00,0.00,0.0000,0.00,548
0.542,12.838,0,0.00,0.00,0.0000,0.00,561
0.556,13.872,0,0.00,0.00,0.0000,0.00,575
0.568,12.452,0,0.00,0.00,0.0000,0.00,588
0.581,12.609,0,0.00,0.00,0.0000,0.00,600
0.594,13.306,0,0.00,0.00,0.0000,0.00,614
0.606,12.407,0,0.00,0.00,0.0000,0.00,626
0.621,14.467,0,0.00,0.00,0.0000,0.00,640
0.633,12.048,0,0.00,0.00,0.0000,0.00,652
0.646,13.269,0,0.00,0.00,0.0000,0.00,666
0.659,12.716,0,0.00,0.00,0.0000,0.00,678
0.677,17.773,0,0.00,0.00,0.0000,0.00,696
0.690,13.095,0,0.00,0.00,0.0000,0.00,709
0.703,13.637,0,0.00,0.00,0.0000,0.00,723
0.718,14.174,0,0.00,0.00,0.0000,0.00,737
0.731,13.052,0,0.00,0.00,0.0000,0.00,750
0.745,13.949,0,0.00,0.00,0.0000,0.00,764
0.758,13.710,0,0.00,0.00,0.0000,0.00,778
0.772,14.039,0,0.00,0.00,0.0000,0.00,792
0.786,13.377,0,0.00,0.00,0.0000,0.00,805
