timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent
0.020,20.000,0,0.00,0.00,0.0000,0.00,3
0.143,122.687,0,0.00,0.00,0.0000,0.00,16
0.175,32.206,0,0.00,0.00,0.0000,0.00,19
0.194,19.169,0,0.00,0.00,0.0000,0.00,21
0.207,12.573,0,0.00,0.00,0.0000,0.00,22
0.220,13.370,0,0.00,0.00,0.0000,0.00,24
0.232,12.068,0,0.00,0.00,0.0000,0.00,25
0.245,13.031,0,0.00,0.00,0.0000,0.00,26
0.258,13.145,0,0.00,0.00,0.0000,0.00,27
0.272,13.563,0,0.00,0.00,0.0000,0.00,29
0.291,19.056,0,0.00,0.00,0.0000,0.00,31
0.304,13.242,0,0.00,0.00,0.0000,0.00,32
0.317,13.300,0,0.00,0.00,0.0000,0.00,33
0.331,13.686,0,0.00,0.00,0.0000,0.00,35
0.345,13.642,0,0.00,0.00,0.0000,0.00,36
0.358,13.605,0,0.00,0.00,0.0000,0.00,37
0.375,17.052,0,0.00,0.00,0.0000,0.00,39
0.388,12.372,0,0.00,0.00,0.0000,0.00,40
0.401,13.278,0,0.00,0.00,0.0000,0.00,42
0.415,14.105,0,0.00,0.00,0.0000,0.00,43
0.427,11.618,0,0.00,0.00,0.0000,0.00,44
0.440,12.827,0,0.00,0.00,0.0000,0.00,45
0.453,13.681,0,0.00,0.00,0.0000,0.00,47
0.465,11.789,0,0.00,0.00,0.0000,0.00,48
0.477,11.851,0,0.00,0.00,0.0000,0.00,49
0.489,12.239,0,0.00,0.00,0.0000,0.00,50
0.502,12.353,0,0.00,0.00,0.0000,0.00,52
0.513,11.655,0,0.00,0.00,0.0000,0.00,53
0.526,13.013,0,0.00,0.00,0.0000,0.00,54
0.538,11.534,0,0.00,0.00,0.0000,0.00,55
0.549,11.552,0,0.00,0.00,0.0000,0.00,56
0.563,13.862,0,0.00,0.00,0.0000,0.00,58
0.575,11.968,0,0.00,0.00,0.0000,0.00,59
0.588,13.041,0,0.00,0.00,0.0000,0.00,60
0.601,12.515,0,0.00,0.00,0.0000,0.00,62
0.613,12.283,0,0.00,0.00,0.0000,0.00,63
0.625,12.170,0,0.00,0.00,0.0000,0.00,64
0.637,11.818,0,0.00,0.00,0.0000,0.00,65
0.650,13.059,0,0.00,0.00,0.0000,0.00,66
0.663,12.632,0,0.00,0.00,0.0000,0.00,68
0.676,12.912,0,0.00,0.00,0.0000,0.00,69
0.688,12.138,0,0.00,0.00,0.0000,0.00,70
0.701,13.004,0,0.00,0.00,0.0000,0.00,72
0.714,12.965,0,0.00,0.00,0.0000,0.00,73
0.731,17.365,0,0.00,0.00,0.0000,0.00,75
0.745,13.563,0,0.00,0.00,0.0000,0.00,76
0.758,13.000,0,0.00,0.00,0.0000,0.00,77
0.777,19.028,0,0.00,0.00,0.0000,0.00,79
0.790,13.200,0,0.00,0.00,0.0000,0.00,80
0.803,13.687,0,0.00,0.00,0.0000,0.00,82
0.817,13.973,0,0.00,0.00,0.0000,0.00,83
0.831,13.168,0,0.00,0.00,0.0000,0.00,85
0.842,11.868,0,0.00,0.00,0.0000,0.00,86
0.857,14.422,0,0.00,0.00,0.0000,0.00,87
0.869,11.704,0,0.00,0.00,0.0000,0.00,88
0.884,15.296,0,0.00,0.00,0.0000,0.00,90
0.897,13.580,0,0.00,0.00,0.0000,0.00,91
0.911,13.125,0,0.00,0.00,0.0000,0.00,93
0.924,13.283,0,0.00,0.00,0.0000,0.00,94
0.938,13.747,955498496,911.23,0.00,0.0000,0.00,95
0.951,13.053,955498496,911.23,0.00,0.0000,0.00,97
0.964,13.483,955498496,911.23,0.00,0.0000,0.00,98
0.976,11.987,955498496,911.23,0.00,0.0000,0.00,99
0.989,12.842,955498496,911.23,0.00,0.0000,0.00,100
1.003,14.094,955498496,911.23,101.69,0.0000,0.00,102
1.016,12.830,955498496,911.23,101.69,0.0000,0.00,103
1.028,11.852,955498496,911.23,101.69,0.0000,0.00,104
1.040,12.008,955498496,911.23,101.69,0.0000,0.00,105
1.052,12.402,955498496,911.23,101.69,0.0000,0.00,107
1.066,13.404,955498496,911.23,101.69,0.0000,0.00,108
1.078,12.626,955498496,911.23,101.69,0.0000,0.00,109
1.090,12.134,955498496,911.23,101.69,0.0000,0.00,111
1.102,11.705,955498496,911.23,101.69,0.0000,0.00,112
1.116,14.120,955498496,911.23,101.69,0.0000,0.00,113
1.129,12.415,955498496,911.23,101.69,0.0000,0.00,114
