timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
0.020,20.000,0,0.00,0.00,0.0000,0.00,19,0.000,0.000,0.00,0
0.353,333.333,0,0.00,0.00,0.0000,0.00,186,0.000,0.000,0.00,0
0.508,154.948,0,0.00,0.00,0.0000,0.00,264,0.000,0.000,0.00,0
0.536,27.651,0,0.00,0.00,0.0000,0.00,277,0.000,0.000,0.00,0
0.544,7.795,0,0.00,0.00,0.0000,0.00,281,0.000,0.000,0.00,0
0.549,5.519,0,0.00,0.00,0.0000,0.00,284,0.000,0.000,0.00,0
0.554,4.906,0,0.00,0.00,0.0000,0.00,287,0.000,0.000,0.00,0
0.560,5.773,0,0.00,0.00,0.0000,0.00,289,0.000,0.000,0.00,0
0.565,5.415,0,0.00,0.00,0.0000,0.00,292,0.000,0.000,0.00,0
0.572,6.452,0,0.00,0.00,0.0000,0.00,295,0.000,0.000,0.00,0
0.592,20.484,0,0.00,0.00,0.0000,0.00,306,0.000,0.000,0.00,0
0.599,6.713,0,0.00,0.00,0.0000,0.00,309,0.000,0.000,0.00,0
0.604,4.857,0,0.00,0.00,0.0000,0.00,311,0.000,0.000,0.00,0
0.608,4.378,0,0.00,0.00,0.0000,0.00,314,0.000,0.000,0.00,0
0.614,6.223,0,0.00,0.00,0.0000,0.00,317,0.000,0.000,0.00,0
0.622,7.250,0,0.00,0.00,0.0000,0.00,320,0.000,0.000,0.00,0
0.628,5.889,0,0.00,0.00,0.0000,0.00,323,0.000,0.000,0.00,0
0.633,5.792,0,0.00,0.00,0.0000,0.00,326,0.000,0.000,0.00,0
0.638,4.347,0,0.00,0.00,0.0000,0.00,328,0.000,0.000,0.00,0
0.642,3.962,0,0.00,0.00,0.0000,0.00,330,0.000,0.000,0.00,0
0.649,6.831,0,0.00,0.00,0.0000,0.00,334,0.000,0.000,0.00,0
0.654,5.738,0,0.00,0.00,0.0000,0.00,337,0.000,0.000,0.00,0
0.659,4.498,0,0.00,0.00,0.0000,0.00,339,0.000,0.000,0.00,0
0.664,4.930,0,0.00,0.00,0.0000,0.00,341,0.000,0.000,0.00,0
0.668,4.364,0,0.00,0.00,0.0000,0.00,344,0.000,0.000,0.00,0
0.672,3.887,0,0.00,0.00,0.0000,0.00,345,0.000,0.000,0.00,0
0.677,5.121,0,0.00,0.00,0.0000,0.00,348,0.000,0.000,0.00,0
0.681,4.248,0,0.00,0.00,0.0000,0.00,350,0.000,0.000,0.00,0
0.687,5.493,0,0.00,0.00,0.0000,0.00,353,0.000,0.000,0.00,0
0.695,7.806,0,0.00,0.00,0.0000,0.00,357,0.000,0.000,0.00,0
0.702,7.575,0,0.00,0.00,0.0000,0.00,361,0.000,0.000,0.00,0
0.713,10.697,0,0.00,0.00,0.0000,0.00,366,0.000,0.000,0.00,0
0.722,9.146,0,0.00,0.00,0.0000,0.00,371,0.000,0.000,0.00,0
0.728,5.723,0,0.00,0.00,0.0000,0.00,373,0.000,0.000,0.00,0
